"lat","lon","code","name","elev","RAINC","BVTGM","REHUM","SRPWM","WSPDM","CRLVM","TEMPM","SNOWM","PRSTM","WDIRP","link_rain","link_idr","link_temp","link_photo"
"44.29848","9.67751","NAS2","Sesta Godano","265","3","3","3","0","0","0","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=NAS2?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=NAS2?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazNAS2?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazNAS2?para=idr"
"44.43671","8.82023","VARP","Genova - Granara","20","0","3","0","0","0","3","0","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=VARP?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=VARP?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazVARP?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazVARP?para=idr"
"44.43845","9.10735","BARG","Bargagli","702","3","3","3","0","3","0","3","0","0","3","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=BARG?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=BARG?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazBARG?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazBARG?para=idr"
"44.19325","8.37883","MANE","Manie","340","3","3","3","0","0","0","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=MANE?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=MANE?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazMANE?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazMANE?para=idr"
"44.14819","8.16447","CARP","Carpe","610","3","3","3","0","0","0","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=CARP?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=CARP?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazCARP?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazCARP?para=idr"
"44.18528","9.92611","MUIS","Murella Isola","45","0","0","0","0","0","0","0","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=MUIS?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=MUIS?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazMUIS?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazMUIS?para=idr"
"44.48233","8.48572","SASS","Sassello","385","3","0","0","0","0","0","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=SASS?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=SASS?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazSASS?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazSASS?para=idr"
"44.45381","9.8222","BRAT","Passo del Brattello","955","3","0","0","0","3","0","3","0","0","3","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=BRAT?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=BRAT?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazBRAT?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazBRAT?para=idr"
"44.3929","9.88585","PICL","Piccatello","248","0","0","0","0","0","3","0","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=PICL?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=PICL?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazPICL?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazPICL?para=idr"
"44.40667","8.52604","ALPC","Alpicella","435","3","3","0","0","0","0","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=ALPC?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=ALPC?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazALPC?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazALPC?para=idr"
